Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3.067143,3.251429,3.041429,3.241071,2.773207,746015200
2009-01-05,3.327500,3.435000,3.311071,3.377857,2.890248,1181608400
2009-01-06,3.426786,3.470357,3.299643,3.322143,2.842576,1289310400
2009-01-07,3.278929,3.303571,3.223572,3.250357,2.781153,753048800
2009-01-08,3.229643,3.326786,3.215714,3.310714,2.832797,673500800
2009-01-09,3.328928,3.335000,3.219286,3.235000,2.768013,546845600
2009-01-12,3.230714,3.249643,3.126786,3.166429,2.709340,617716400
2009-01-13,3.151428,3.205000,3.083929,3.132500,2.680308,798397600
2009-01-14,3.080000,3.116071,3.025714,3.047500,2.607580,1021664000
2009-01-15,2.877500,3.004286,2.858929,2.977857,2.547990,1831634000
2009-01-16,3.010714,3.013572,2.871428,2.940357,2.515903,1047625600
2009-01-20,2.926071,2.928571,2.792857,2.792857,2.389696,919914800
2009-01-21,2.835357,2.960000,2.832500,2.958214,2.531183,1089270000
2009-01-22,3.144286,3.214286,3.065000,3.155714,2.700172,1409528400
2009-01-23,3.100714,3.209643,3.089286,3.155714,2.700172,763770000
2009-01-26,3.173571,3.248929,3.153571,3.201429,2.739288,692238400
2009-01-27,3.221071,3.269643,3.205000,3.240357,2.772597,618038400
2009-01-28,3.290000,3.392857,3.267857,3.364286,2.878636,861406000
2009-01-29,3.324643,3.369286,3.307143,3.321429,2.841965,592729200
2009-01-30,3.307143,3.343571,3.214643,3.218929,2.754261,651478800
2009-02-02,3.182143,3.285714,3.175000,3.268214,2.796433,558247200
2009-02-03,3.282857,3.335000,3.224286,3.320714,2.841354,599309200
2009-02-04,3.329286,3.437500,3.325000,3.341071,2.858773,808421600
2009-02-05,3.313214,3.473214,3.307857,3.445000,2.947698,749246400
2009-02-06,3.465000,3.571429,3.464286,3.561429,3.047320,687209600
2009-02-09,3.571429,3.678571,3.553571,3.661072,3.132579,715010800
2009-02-10,3.618929,3.661072,3.466429,3.493929,2.989564,849060800
2009-02-11,3.441786,3.511071,3.420357,3.457857,2.958700,674973600
2009-02-12,3.422500,3.562500,3.422500,3.545357,3.033569,817188400
2009-02-13,3.535357,3.569286,3.504286,3.541429,3.030207,608977600
2009-02-17,3.459643,3.465714,3.367143,3.376071,2.888720,678238400
2009-02-18,3.394643,3.423214,3.311429,3.370357,2.883831,684779200
2009-02-19,3.334643,3.366071,3.218214,3.237143,2.769846,922804400
2009-02-20,3.192857,3.300000,3.178571,3.257143,2.786959,750316000
2009-02-23,3.273214,3.285714,3.089643,3.105357,2.657084,786982000
2009-02-24,3.123214,3.246071,3.107143,3.223214,2.757929,807105600
2009-02-25,3.209286,3.318571,3.187500,3.255714,2.785737,833053200
2009-02-26,3.285714,3.318571,3.177143,3.185357,2.725536,629868400
2009-02-27,3.140357,3.260714,3.131071,3.189643,2.729203,706658400
2009-03-02,3.147143,3.257143,3.131071,3.140714,2.687337,770929600
2009-03-03,3.176071,3.240714,3.138572,3.156071,2.700478,724340400
2009-03-04,3.220714,3.313214,3.194643,3.256071,2.786043,741403600
2009-03-05,3.230714,3.281071,3.158929,3.172857,2.714840,706899200
2009-03-06,3.155000,3.157143,2.940357,3.046429,2.606663,1011147200
2009-03-09,3.006428,3.128572,2.948929,2.968214,2.539739,698297600
2009-03-10,3.031071,3.184643,3.012857,3.165357,2.708423,844258800
2009-03-11,3.207500,3.359643,3.199286,3.310000,2.832186,846372800
2009-03-12,3.317857,3.449286,3.285714,3.441072,2.944337,768457200
2009-03-13,3.439286,3.471429,3.393214,3.426071,2.931502,601168400
2009-03-16,3.447500,3.478214,3.363571,3.407857,2.915916,797244000
2009-03-17,3.401428,3.560357,3.395357,3.559286,3.045486,786646000
2009-03-18,3.568214,3.695714,3.561429,3.625714,3.102326,796037200
2009-03-19,3.637500,3.685714,3.580357,3.629286,3.105382,500180800
2009-03-20,3.646071,3.682500,3.591786,3.628214,3.104465,695587200
2009-03-23,3.668214,3.862857,3.633929,3.845000,3.289956,666397200
2009-03-24,3.798571,3.908571,3.763929,3.803571,3.254508,640612000
2009-03-25,3.842143,3.870000,3.709286,3.803214,3.254203,646618000
